Participant 1, 2, Nice, Speed/Content.
Participant 2, 5, Nice, Speed/Content.
Participant 3, 2, Bad, Speed/Content/Quality.
Participant 4, 4, Nice, Speed/Content.
Participant 5, 1, Nice, Speed/Content.
Participant 6, 4, Bad, Speed/Content/Quality.
Participant 1, 2, Nice, Speed/Content.
Participant 2, 5, Nice, Speed/Content.
Participant 3, 2, Bad, Speed/Content/Quality.
Participant 4, 4, Nice, Speed/Content.
Participant 1, 1, Nice, Speed/Content.
Participant 2, 4, Bad, Speed/Content/Quality.
Participant 3, 2, Nice, Speed/Content.
Participant 4, 5, Nice, Speed/Content.
Participant 5, 2, Bad, Speed/Content/Quality.
Participant 6, 4, Nice, Speed/Content.
Participant 1, 1, Nice, Speed/Content.
Participant 2, 4, Bad, Speed/Content/Quality.
Participant 1, 2, Nice, Speed/Content.
Participant 2, 5, Nice, Speed/Content.
Participant 3, 2, Bad, Speed/Content/Quality.
Participant 4, 4, Nice, Speed/Content.
Participant 1, 1, Nice, Speed/Content.
Participant 2, 4, Bad, Speed/Content/Quality.
Participant 3, 2, Nice, Speed/Content.
Participant 4, 5, Nice, Speed/Content.
Participant 5, 2, Bad, Speed/Content/Quality.
Participant 6, 4, Nice, Speed/Content.
Participant 1, 1, Nice, Speed/Content.
Participant 2, 4, Bad, Speed/Content/Quality.
Participant 3, 2, Nice, Speed/Content.
Participant 4, 5, Nice, Speed/Content.
Participant 5, 2, Bad, Speed/Content/Quality.
Participant 6, 4, Nice, Speed/Content.
